OBJECTID,CSA_Label,Total_Unsheltered_Pop,Total_Sheltered_Pop,Total_Pop,Data_Source,Square_Miles,Density_Unsheltered,Density_Sheltered,Density_Total,Shape__Area,Shape__Length
139,Los Angeles - Hollywood Hills,151,7,158,Los Angeles Homeless Services Authority (LAHSA),7.08932888543909,21.2996184039567,0.987399528660242,22.2870179326169,26859106,31425.0737477359
140,Los Angeles - Hyde Park,189,20,209,Los Angeles Homeless Services Authority (LAHSA),1.92182852800574,98.343841422795,10.4067557061159,108.750597128911,7257357.18359375,12702.6285657042
141,Los Angeles - Jefferson Park,27,14,41,Los Angeles Homeless Services Authority (LAHSA),0.450718190578766,59.9043938415917,31.061537547492,90.9659313890837,1703709.89453125,5229.62003741497
142,Los Angeles - Koreatown,255,0,255,Los Angeles Homeless Services Authority (LAHSA),1.45784646734824,174.915538577827,0,174.915538577827,5514622.47265625,10494.4305821864
143,Los Angeles - Lafayette Square,1,0,1,Los Angeles Homeless Services Authority (LAHSA),0.259759696400791,3.84971192165651,0,3.84971192165651,982336.62890625,4301.00828936906
144,Los Angeles - Lake Balboa,42,0,42,Los Angeles Homeless Services Authority (LAHSA),3.56499781108774,11.7812134047805,0,11.7812134047805,13531739.2617188,20914.8852884806
145,Los Angeles - Lakeview Terrace,38,0,38,Los Angeles Homeless Services Authority (LAHSA),6.93946032537339,5.47593014705439,0,5.47593014705439,26387327.7460938,41079.7140380982
146,Los Angeles - Leimert Park,68,38,106,Los Angeles Homeless Services Authority (LAHSA),1.31617143729333,51.6650020455087,28.8716187901372,80.5366208356459,4972958.29296875,10449.4634346548
147,Los Angeles - Lincoln Heights,237,45,282,Los Angeles Homeless Services Authority (LAHSA),3.26623341956723,72.5606438842335,13.7773374463734,86.337981330607,12363056.5078125,22397.8772662249
148,Los Angeles - Little Armenia,92,0,92,Los Angeles Homeless Services Authority (LAHSA),0.25188975369764,365.239151849081,0,365.239151849081,953732.48828125,3906.33925490426
149,Los Angeles - Little Bangladesh,123,0,123,Los Angeles Homeless Services Authority (LAHSA),0.501486872952462,245.270627475945,0,245.270627475945,1897470.734375,5837.16173596874
150,Los Angeles - Little Tokyo,657,46,703,Los Angeles Homeless Services Authority (LAHSA),0.223451127641526,2940.24025268738,205.861570203378,3146.10182289076,845099.84765625,4303.8326826766
151,Los Angeles - Longwood,17,0,17,Los Angeles Homeless Services Authority (LAHSA),0.166170365951694,102.304643205407,0,102.304643205407,628315.48828125,3309.06403268865
152,Los Angeles - Los Feliz,77,0,77,Los Angeles Homeless Services Authority (LAHSA),10.4561908154619,7.36405841849574,0,7.36405841849574,39625556.3242188,33404.9020673047
153,Los Angeles - Manchester Square,98,97,195,Los Angeles Homeless Services Authority (LAHSA),0.758144020395079,129.263038899827,127.944028298808,257.207067198634,2861895.63671875,6839.49151782943
154,Los Angeles - Mandeville Canyon,1,0,1,Los Angeles Homeless Services Authority (LAHSA),4.35077650035877,0.229844028972194,0,0.229844028972194,16472351.5507813,27700.7736654709
155,Los Angeles - Mar Vista,289,20,309,Los Angeles Homeless Services Authority (LAHSA),3.6322159214595,79.5657544180011,5.50628058256063,85.0720350005617,13726196.109375,18814.8415518037
156,Los Angeles - Marina Peninsula,9,0,9,Los Angeles Homeless Services Authority (LAHSA),0.480258201986549,18.7399194074609,0,18.7399194074609,1813090.89453125,9340.34747429544
157,Los Angeles - Melrose,481,87,568,Los Angeles Homeless Services Authority (LAHSA),4.48222277129874,107.312827706827,19.4100124958295,126.722840202657,16966343.3242188,30920.457397333
158,Los Angeles - Mid-city,68,0,68,Los Angeles Homeless Services Authority (LAHSA),1.12411032094787,60.4922833042412,0,60.4922833042412,4251680.609375,10979.0345049929
159,Los Angeles - Miracle Mile,30,0,30,Los Angeles Homeless Services Authority (LAHSA),1.36099692468685,22.0426655312999,0,22.0426655312999,5148850.1640625,13571.914670749
160,Los Angeles - Mission Hills,121,26,147,Los Angeles Homeless Services Authority (LAHSA),3.71186826181165,32.5981396605233,7.00455893531905,39.6026985958423,14112172.84375,18371.845582799
161,Los Angeles - Mt. Washington,102,0,102,Los Angeles Homeless Services Authority (LAHSA),2.36045799768391,43.2119529769573,0,43.2119529769573,8938511.53515625,16167.3359814127
162,Los Angeles - North Hills,138,36,174,Los Angeles Homeless Services Authority (LAHSA),4.90918514315508,28.1105715054187,7.33319256663096,35.4437640720497,18651263.1367188,18697.8433891095
163,Los Angeles - North Hollywood,1042,249,1291,Los Angeles Homeless Services Authority (LAHSA),11.4206743273662,91.2380451566823,21.8025654932955,113.040610649978,43339963.1328125,49078.8984542018
164,Los Angeles - Northridge,69,0,69,Los Angeles Homeless Services Authority (LAHSA),9.16578339552207,7.52799810147268,0,7.52799810147268,34823298.1835938,29853.4051807265
165,Los Angeles - Pacific Palisades,58,0,58,Los Angeles Homeless Services Authority (LAHSA),5.62711699310296,10.3072319397463,0,10.3072319397463,21281739.3359375,32039.6038772537
166,Los Angeles - Pacoima,284,141,425,Los Angeles Homeless Services Authority (LAHSA),5.95276460382315,47.7089249955561,23.6864733252585,71.3953983208146,22631144.0703125,23778.368358984
167,Los Angeles - Palisades Highlands,0,0,0,Los Angeles Homeless Services Authority (LAHSA),18.4780587263747,0,0,0,69956208.6523438,48413.3598546265
168,Los Angeles - Palms,174,0,174,Los Angeles Homeless Services Authority (LAHSA),1.80709894371287,96.2869247449723,0,96.2869247449723,6830826.453125,13412.7268643438
169,Los Angeles - Panorama City,361,0,361,Los Angeles Homeless Services Authority (LAHSA),3.92261817960989,92.0303693784191,0,92.0303693784191,14898309.5039063,18901.5588770012
170,Los Angeles - Park La Brea,18,0,18,Los Angeles Homeless Services Authority (LAHSA),0.479859250323994,37.5109992937443,0,37.5109992937443,1815827.3671875,6036.28984142528
171,Los Angeles - Pico-Union,424,36,460,Los Angeles Homeless Services Authority (LAHSA),1.20857060083628,350.827663445238,29.7872544434636,380.614917888702,4570800.859375,9177.26790996145
172,Los Angeles - Playa Del Rey,21,0,21,Los Angeles Homeless Services Authority (LAHSA),0.703691408493471,29.8426266777347,0,29.8426266777347,2655853.50390625,11222.8065842043
173,Los Angeles - Playa Vista,55,0,55,Los Angeles Homeless Services Authority (LAHSA),1.39579567640539,39.4040481208841,0,39.4040481208841,5270494.05078125,12413.2073967129
174,Los Angeles - Porter Ranch,29,0,29,Los Angeles Homeless Services Authority (LAHSA),8.27782542346241,3.50333554000829,0,3.50333554000829,31481222.6679688,28319.4442350928
175,Los Angeles - Rancho Park,65,21,86,Los Angeles Homeless Services Authority (LAHSA),0.755038337628925,86.0883438106228,27.8131572311243,113.901501041747,2854919.08984375,7017.75563696251
176,Los Angeles - Regent Square,21,0,21,Los Angeles Homeless Services Authority (LAHSA),0.29506159335055,71.171580691123,0,71.171580691123,1115570.01953125,5270.60511354692
177,Los Angeles - Reseda,289,0,289,Los Angeles Homeless Services Authority (LAHSA),6.2317203860641,46.3756365972848,0,46.3756365972848,23653745.9257813,22907.2056621696
178,Los Angeles - Reseda Ranch,2,0,2,Los Angeles Homeless Services Authority (LAHSA),0.845851550597589,2.3644810943327,0,2.3644810943327,3211809.87109375,7171.6865388664
179,Los Angeles - Reynier Village,9,0,9,Los Angeles Homeless Services Authority (LAHSA),0.346566842348264,25.9690163635329,0,25.9690163635329,1310395.515625,5437.7887714543
180,Los Angeles - San Pedro,477,83,560,Los Angeles Homeless Services Authority (LAHSA),12.2405345259914,38.9688864474949,6.78074963342155,45.7496360809165,45953684.2421875,92337.0993751596
181,Los Angeles - Shadow Hills,6,0,6,Los Angeles Homeless Services Authority (LAHSA),2.37125630696776,2.5303042873811,0,2.5303042873811,9013237.4296875,13780.6462507096
182,Los Angeles - Sherman Oaks,246,0,246,Los Angeles Homeless Services Authority (LAHSA),11.6082728569657,21.1917830525826,0,21.1917830525826,44014597.4882813,35453.9624348802
183,Los Angeles - Silverlake,471,131,602,Los Angeles Homeless Services Authority (LAHSA),3.95937829689351,118.958069848881,33.0860024420453,152.044072290926,14991940,25018.2783507287
184,Los Angeles - South Carthay,15,0,15,Los Angeles Homeless Services Authority (LAHSA),0.532528582842038,28.1675021459823,0,28.1675021459823,2014518.8984375,6682.4514931544
185,Los Angeles - South Park,241,106,347,Los Angeles Homeless Services Authority (LAHSA),1.26927802221487,189.871719026111,83.5120423932273,273.383761419339,4795060.9296875,9738.39972877384
186,Los Angeles - St Elmo Village,3,0,3,Los Angeles Homeless Services Authority (LAHSA),0.149992934679976,20.0009420870442,0,20.0009420870442,567221.3515625,3230.52564650079
187,Los Angeles - Studio City,89,0,89,Los Angeles Homeless Services Authority (LAHSA),4.36345653316138,20.3966739037316,0,20.3966739037316,16538584.265625,28026.5154064239
188,Los Angeles - Sun Valley,426,476,902,Los Angeles Homeless Services Authority (LAHSA),12.7116146420514,33.5126584620293,37.4460690796384,70.9587275416678,48282680.0625,52191.1595836497
189,Los Angeles - Sunland,57,0,57,Los Angeles Homeless Services Authority (LAHSA),7.21718752801826,7.89781334885882,0,7.89781334885882,27426349.2617188,37904.5600863674
190,Los Angeles - Sylmar,345,28,373,Los Angeles Homeless Services Authority (LAHSA),12.7403457853263,27.0793278152116,2.19774254732152,29.2770703625331,48491279.3164063,44615.1032984658
191,Los Angeles - Tarzana,62,0,62,Los Angeles Homeless Services Authority (LAHSA),6.85729107763129,9.04147123085471,0,9.04147123085471,26003135.6835938,29703.9002265233
